Organization name,Category,Description,Technologies,Topics,Link
52°North Initiative for Geospatial Open Source Software GmbH,Other,52°North works on innovative ideas and technologies in geoinformatics.,"web services,ogc standards,java,javascript,web","geoinformatics,sensor web,web-based geoprocessing,spatial data infrastructures,spatial information",https://summerofcode.withgoogle.com/archive/2017/organizations/4959751460880384/
AboutCode,Programming Languages and Development Tools,"Open Source for Open Source: software license, origin and packages discovery","python,c/c++,javascript, shell script,static analysis","free and open source software  license and origin,package and dependencies licensing and origin,package vulnerabilities and security,code scan and matching,code analysis and spdx",https://summerofcode.withgoogle.com/archive/2017/organizations/6448304984424448/
AerospaceResearch.net,Science and Medicine,Making Space Together,"python,c/c++,vhdl,boinc","cubesats,space applications,software defined radio,distributed computing,simulations",https://summerofcode.withgoogle.com/archive/2017/organizations/6713622831038464/
aimacode,Programming Languages and Development Tools,"Code for the book ""Artificial Intelligence: A Modern Approach""","python, javascript,machine learning,artificial intelligence,java","artificial intelligence,machine learning,education",https://summerofcode.withgoogle.com/archive/2017/organizations/6119722806411264/
Amahi,Operating Systems,Making Home Networking and Storage Simple," android,golang,restful api,streaming,ruby on rails","home servers,networking,storage,webapps,mobile streaming",https://summerofcode.withgoogle.com/archive/2017/organizations/6673844588773376/
AOSSIE - Australian Open Source Software Innovation and Education,Science and Medicine,Umbrella Org for Open-Source Projects in Australia,"scala,javascript/html/css,automated reasoning,android/ios,xcode","logic,electronic voting,natural language processing,philosophy,environment",https://summerofcode.withgoogle.com/archive/2017/organizations/4780102642565120/
Apache Software Foundation,Other,Providing open source software to the public free of charge,"java,c,erlang","cloud,libraries,big data",https://summerofcode.withgoogle.com/archive/2017/organizations/4633151007621120/
Apertium,Other,Free/open-source rule-based machine translation,"c++,xml,python,nlp","natural language processing,machine translation,lesser-resourced languages",https://summerofcode.withgoogle.com/archive/2017/organizations/6618812501721088/
Apertus Association,Graphics / Video / Audio / Virtual Reality,Open Technology for Professional Film Production,"fpga,vhdl,c,linux,c++","video,camera,vision,real time,photography",https://summerofcode.withgoogle.com/archive/2017/organizations/6354847569805312/
appleseedhq,Graphics / Video / Audio / Virtual Reality,A modern open source rendering engine for animation and visual effects,"c++,python,qt"," computer graphics,3d,rendering,animation,vfx",https://summerofcode.withgoogle.com/archive/2017/organizations/6110372931043328/
ArduPilot,Other,The worlds most advanced open source autopilot,"c++,python,embedded,rtos,ros","autopilot,robotics,uav,drones,rovers",https://summerofcode.withgoogle.com/archive/2017/organizations/5801067908431872/
Babel,Programming Languages and Development Tools,"Babel, the community driven compiler for writing next generation JavaScript","javascript,babel,nodejs","compilers,ast,minifier,tc39",https://summerofcode.withgoogle.com/archive/2017/organizations/5933754749026304/
Bazel,Programming Languages and Development Tools,Fast and correct build system for Google scale,"java,linux,go","development tools,build systems",https://summerofcode.withgoogle.com/archive/2017/organizations/5765787168014336/
BeagleBoard.org Foundation,Programming Languages and Development Tools,"open hardware physical computing for makers, educators and professionals","javascript,linux,beaglebone,python,c","real time,robotics,iot,physical computing,coprocessing",https://summerofcode.withgoogle.com/archive/2017/organizations/5370804795604992/
Beam Community,Programming Languages and Development Tools,"From distributed systems, to robust servers and language design on the Erlang VM","erlang,elixir,lisp,xmpp","realtime,communication system,database,clustering",https://summerofcode.withgoogle.com/archive/2017/organizations/5344914732744704/
BeeWare Project,Programming Languages and Development Tools,The IDEs of Python. Tools for cross-platform Python application development.,"python,mobile,ios,android","ui,ide,cross-platform",https://summerofcode.withgoogle.com/archive/2017/organizations/5213454373748736/
Berkman Klein Center for Internet and Society at Harvard University,Web,"exploring cyberspace, sharing in its study & pioneering its development","ruby on rails,meteor.js,d3,elasticsearch,javascript ","digital rights,internet access,security and privacy,law, web",https://summerofcode.withgoogle.com/archive/2017/organizations/5825274612547584/
